<document>
<entity levels="3">
0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	0_21	0_22	0_23	0_24	0_25	0_26	0_27	0_28	0_29	0_30	0_31	0_32	0_33	0_34	0_35	0_36	0_37	0_38	0_39	0_40	0_41	0_42	0_43	0_44	0_45	0_46	0_47	0_48	0_49	0_50	0_51	0_52	0_53	0_54	0_55	0_56	0_57	0_58	0_59
-20.031582	14.936784	33.781624	32.743507	-19.962801	-18.158329	0.0	21.373512	5.477191	18.83377	2.6366062	-3.0386086	21.80651	25.396025	10.980565	-13.818024	-21.798166	3.0367699	-25.737259	21.013002	4.084589	12.923023	-29.143913	-14.788761	-22.264442	-24.362429	-14.137795	-30.486267	-1.6640892	2.6831923	-2.085167	-28.62113	16.867224	3.1657581	-7.4206667	-6.035308	14.942525	4.8693542	20.613184	2.5604134	10.008136	19.965828	29.722443	-12.2712965	-18.845325	10.022619	-2.2288418	0.42791367	2.7972307	-17.989141	-8.99595	24.351765	0.23119354	-9.957713	-8.280483	13.728462	20.108047	-5.8330116	-28.45843	10.873985
-11.374702	13.711059	20.46437	11.116772	-15.543486	-21.516756	21.373512	0.0	28.066809	-1.7327232	16.70866	3.9663544	15.821469	15.340589	-0.0155620575	-13.350004	-15.638203	-19.849648	-36.163773	-0.04497528	7.302329	22.168839	-14.469008	-20.315842	-7.5878024	-33.239197	-9.951159	-7.5001183	-12.266334	28.85689	-18.494164	-12.009186	22.564377	23.079678	-16.214897	1.0502052	12.944331	4.050459	15.48212	-18.3292	3.405344	12.882696	21.594868	-26.9557	-15.314966	7.2656755	30.867588	-26.096067	16.926302	-20.487427	-7.856	14.789727	-7.1906576	-12.569729	-4.5378475	7.6518273	5.382805	-20.621632	-17.45007	-27.450785
-19.253174	20.605087	27.573374	6.1316004	-6.1476097	-7.505678	5.477191	28.066809	0.0	13.145178	-5.411043	-4.9401474	27.115559	20.659004	14.518058	-7.0602465	-25.81575	-31.04605	-27.102272	12.4209175	8.127275	3.953106	-20.001108	-19.435968	-4.629922	-19.20328	-18.640175	-10.9507	-11.812534	15.159994	-13.029819	-15.489998	11.688007	18.69105	-22.388565	-17.23625	11.086211	22.939043	12.746213	-20.627974	11.737618	31.816431	10.57141	-27.64084	-2.180685	31.990072	33.47233	-22.236134	3.020173	-35.80948	-15.23452	19.318146	5.282013	-10.393948	-19.135914	8.876461	10.525503	-16.117632	-14.912544	-12.43437
-16.522554	9.954271	11.11602	0.28341293	-10.605573	6.3223534	18.83377	-1.7327232	13.145178	0.0	6.338269	16.40654	12.768249	15.60559	19.05581	-24.286293	-4.542038	-17.96275	-8.919919	5.2676973	22.209099	14.184711	-6.9942665	-23.04859	-18.402805	-16.188202	-18.919033	-11.69142	-19.415323	5.5869026	-10.203741	-25.939487	5.632657	14.068729	-20.85978	-11.532165	4.4575253	28.53313	18.945837	-9.90352	13.410912	14.93273	0.6044674	-13.623077	-40.16721	8.45702	12.523511	-10.041729	10.059348	-20.97425	-19.992487	26.485586	-22.531084	-8.316162	3.1338482	8.226957	22.285055	-21.432968	-11.909441	-9.085388
-5.507435	21.831493	11.360395	25.62643	-9.240438	-18.849085	2.6366062	16.70866	-5.411043	6.338269	0.0	23.041132	-2.4634762	13.107581	18.615294	-23.12402	-15.754001	-4.0348644	-16.796555	9.039788	20.949884	5.469528	-0.8468256	-25.365698	-16.39999	-24.966038	-19.394234	-18.629232	-1.5790329	25.60717	0.48339367	-13.902859	20.350824	7.153326	-24.773024	-11.104213	12.349529	36.856712	11.358926	-46.055683	15.008981	19.351475	25.581545	-25.42969	-2.748023	24.934351	8.554672	-30.90889	12.876866	-10.582331	-10.520747	16.435963	-8.342806	-18.391712	-0.88322544	15.032899	12.645381	-27.577564	-16.816717	-5.772691
-21.78963	20.421558	35.17843	16.468908	-21.785252	-6.307913	-3.0386086	3.9663544	-4.9401474	16.40654	23.041132	0.0	0.5391331	12.494031	3.4386063	-11.940189	-8.307409	-27.321386	-5.584058	21.114624	27.652988	7.873108	-22.535086	-32.173683	-18.167149	-6.4503107	-15.941309	-16.426403	-6.205081	33.599533	-1.2569942	-7.288053	11.33828	10.547361	-7.264462	-34.695435	20.099314	22.483795	16.060324	-21.891235	10.292782	5.211993	21.549171	-37.748558	-27.163118	-5.64172	26.244143	-7.201917	19.032778	-31.093409	-8.265703	15.316953	-24.9492	-12.713968	-26.19426	21.722837	8.161147	-35.23104	-30.664793	-18.67551
-19.537529	32.53279	7.569392	9.096558	-18.724955	-12.1227455	21.80651	15.821469	27.115559	12.768249	-2.4634762	0.5391331	0.0	19.245964	17.923681	2.623436	-18.518955	-11.960596	-11.985198	13.720756	18.675217	11.897589	-23.583418	1.5987282	-14.823011	-7.157355	-11.222157	-18.8554	-33.72589	3.325286	-19.600874	-12.421754	20.587385	17.20626	1.4152489	-7.2192388	2.6880512	20.390228	21.457817	0.25536537	14.347586	17.081245	24.137514	2.2618694	-1.9974794	26.362532	12.357306	-23.313255	25.400192	-24.274021	-5.9291687	7.673342	-23.118069	-1.0991087	-24.932365	17.385904	8.026543	-13.356004	-0.6816845	-19.234795
-22.414474	13.693281	13.3445635	5.598446	-8.493503	-22.960554	25.396025	15.340589	20.659004	15.60559	13.107581	12.494031	19.245964	0.0	10.11017	-5.878456	-10.259935	-14.844141	-2.6909676	15.737015	1.4921103	15.078404	-12.0780945	-20.588947	-4.8218193	-7.54146	-25.032848	-16.87628	0.17638683	20.009062	-18.05748	-9.677867	9.945364	30.219692	-33.93583	-4.7397346	16.033499	28.012833	3.014412	-0.54301643	3.4524012	24.402176	-1.7667675	2.3085766	-17.44373	9.696803	9.759771	-19.655888	26.491291	-32.764153	-19.29583	6.8555727	-14.130404	-0.42714024	-7.217272	18.845467	31.142073	-10.949398	-20.24876	-10.877966
-16.188175	21.51715	12.566351	4.67354	-2.1717405	-23.647392	10.980565	-0.0155620575	14.518058	19.05581	18.615294	3.4386063	17.923681	10.11017	0.0	-19.591482	-24.454613	-9.607673	-29.81623	23.543491	18.665695	15.64207	7.7725315	-34.608635	-5.694126	-8.021046	-32.526134	-26.19025	-38.127327	35.660465	-15.203835	-24.745358	0.838747	-5.473469	-20.433414	-8.919116	21.600483	8.081921	3.569521	-20.76521	21.77251	22.761812	23.667562	-17.851461	-20.405073	33.047195	27.55741	-25.746618	28.98421	-25.929817	-6.2114315	9.329317	-15.3054285	-25.429478	-7.8091855	13.381424	16.278156	-9.730883	-16.298014	-16.119526
12.354416	-8.213972	-23.720009	-15.379211	-15.160045	-11.863741	-13.818024	-13.350004	-7.0602465	-24.286293	-23.12402	-11.940189	2.623436	-5.878456	-19.591482	0.0	0.6745968	-11.516499	22.176052	-17.04961	-11.317277	-35.505306	1.4744339	6.4140596	9.856144	-4.2675734	19.351446	11.277307	-24.181503	-11.461464	27.88858	5.8954906	-21.956497	4.2153397	0.68961716	16.929949	-19.89875	-16.63343	-24.451286	-4.45179	-14.347303	-13.586467	-0.61276627	12.885332	-31.751698	-8.152957	-11.333429	29.880505	-25.798168	17.22697	-6.5872726	-9.880402	17.028908	6.5584335	2.7618036	-22.387852	-19.448063	-38.481857	1.8500595	11.193543
7.4322867	0.61247253	-17.445353	-17.556465	-7.6619577	-0.8515072	-21.798166	-15.638203	-25.81575	-4.542038	-15.754001	-8.307409	-18.518955	-10.259935	-24.454613	0.6745968	0.0	-9.073696	13.644505	-5.635482	-19.968704	-14.726221	10.969795	17.034058	4.9092464	-17.50452	9.838852	29.918156	-0.31429768	-13.345339	13.356322	-22.023516	-23.184933	-28.86705	20.872654	-10.928143	-19.775827	-0.64365387	-24.469383	19.414257	-9.305331	1.093523	-6.907671	-5.0389137	-11.808628	-22.143257	-10.3437605	31.149433	-26.119205	17.382812	13.825679	-18.027285	4.536524	6.78296	18.802582	-6.359252	-13.407996	-14.918202	-6.3811874	1.6766729
-13.007387	-30.116947	-14.4011345	3.0063038	8.503934	-11.131844	3.0367699	-19.849648	-31.04605	-17.96275	-4.0348644	-27.321386	-11.960596	-14.844141	-9.607673	-11.516499	-9.073696	0.0	-7.655697	-19.61731	-19.559835	-15.599264	3.4977512	-5.7819386	-17.000483	13.417734	-14.75597	-26.9025	18.253242	-2.8873396	-13.08384	8.689275	-11.06587	-26.734097	-27.464901	-11.006845	-21.576517	-9.295113	-20.420763	-11.078213	-15.105658	1.8922119	-19.67548	1.0785294	-21.593815	-8.435585	-28.784859	-18.5888	-21.985008	-20.804527	-0.31596184	1.1211624	-21.514128	-26.158596	-9.666901	-30.154133	-5.714123	-13.415482	14.297317	-2.9362698
13.937703	-10.04887	-13.788358	-8.638031	-14.015108	-11.74652	-25.737259	-36.163773	-27.102272	-8.919919	-16.796555	-5.584058	-11.985198	-2.6909676	-29.81623	22.176052	13.644505	-7.655697	0.0	-22.94382	-2.174673	-23.576088	13.701489	22.140873	12.530511	-29.619932	20.445103	4.248453	-24.970875	-12.516129	13.602233	-14.603347	-33.338486	-3.7859364	21.649366	14.266104	-20.300592	-24.320786	-21.716255	24.457764	-15.380516	0.09810352	-21.129587	29.341572	-27.433117	-31.249788	-27.062893	19.189526	-16.655272	23.440807	8.023208	-3.6444864	13.711571	30.336409	20.04806	-23.479544	-7.6794105	-24.961151	0.9869108	6.843113
-10.655616	16.746872	23.890179	21.299107	-11.928217	-15.661423	21.013002	-0.04497528	12.4209175	5.2676973	9.039788	21.114624	13.720756	15.737015	23.543491	-17.04961	-5.635482	-19.61731	-22.94382	0.0	22.529087	13.232586	-29.255703	-16.303867	-14.239889	-12.959502	-22.288475	-39.55428	-13.195253	21.59449	-6.903013	-27.871796	15.969234	19.587093	-0.94405174	-18.254723	10.195883	-2.4404259	29.920053	-19.803612	14.111927	10.155499	7.621331	-19.958296	-8.624375	3.165883	15.476299	-10.075537	14.216684	-22.088718	-29.998257	7.912884	-24.186575	-9.456236	-17.346416	13.440268	15.18589	-2.6044445	-12.223736	-16.052246
-25.722961	13.97616	23.6142	11.295698	-6.4560747	-15.132726	4.084589	7.302329	8.127275	22.209099	20.949884	27.652988	18.675217	1.4921103	18.665695	-11.317277	-19.968704	-19.559835	-2.174673	22.529087	0.0	1.339714	-15.664653	-13.128458	-17.987043	8.260567	-12.24824	-16.38559	-27.72829	11.570372	3.4073143	-19.366701	20.400993	27.794842	-19.556435	-7.1031246	31.429121	16.622978	28.070782	-16.79916	22.647686	17.49531	17.933662	-32.87682	14.77644	13.99562	9.409303	-11.425115	17.536654	-18.213194	-9.405196	3.5391817	-6.189474	-16.131369	-18.363049	37.17624	12.747035	-18.22431	-10.488676	11.818716
-31.883947	4.7298155	27.004976	24.27273	-28.037954	-19.530994	12.923023	22.168839	3.953106	14.184711	5.469528	7.873108	11.897589	15.078404	15.64207	-35.505306	-14.726221	-15.599264	-23.576088	13.232586	1.339714	0.0	-23.224031	-16.984303	-5.6011763	-1.0741415	-10.0604515	-21.137909	1.2762604	4.3894377	-23.347336	-20.023643	10.495204	23.811901	-16.390915	-18.789238	18.463955	18.48869	2.59933	-21.816635	16.477047	17.454468	19.783321	-7.741187	-9.018496	23.161457	17.054348	12.386848	17.517021	-8.531349	-21.47675	14.706937	-5.0195036	-24.36036	-11.763983	13.190296	8.68316	-26.363457	-8.225542	-4.3405924
1.9804335	-19.276878	-9.340038	-19.392303	-22.0238	-12.497064	-29.143913	-14.469008	-20.001108	-6.9942665	-0.8468256	-22.535086	-23.583418	-12.0780945	7.7725315	1.4744339	10.969795	3.4977512	13.701489	-29.255703	-15.664653	-23.224031	0.0	29.36203	17.27051	-23.811932	29.82701	27.072012	-5.146386	1.4600048	8.1241455	-7.907584	-19.013573	-20.275692	10.606075	-1.421154	-25.887367	-8.135783	-20.210535	4.4793396	-10.920805	-18.727879	-24.074606	28.817808	-12.042243	-13.982349	-21.667063	14.093674	1.0195084	27.874607	23.129414	-16.657673	23.434437	13.007605	7.6426992	-23.491436	-13.7689705	-13.92182	-0.18827248	33.717796
12.05959	-14.290064	-18.939533	-22.197575	-12.1355095	-4.2279444	-14.788761	-20.315842	-19.435968	-23.04859	-25.365698	-32.173683	1.5987282	-20.588947	-34.608635	6.4140596	17.034058	-5.7819386	22.140873	-16.303867	-13.128458	-16.984303	29.36203	0.0	15.998638	-38.755493	8.23136	18.222359	-31.073631	-23.528557	22.889992	-20.296932	-20.999348	-21.37085	13.33919	23.166473	-17.014404	-3.4839191	-8.235983	23.209156	-8.02614	-24.233421	-22.638523	0.8453264	-8.4077425	-26.847677	-9.279717	18.086155	-10.099023	2.1201706	12.969652	-10.634609	18.384735	4.054922	19.769611	3.1742992	-9.883841	-9.786271	-30.565903	27.46386
15.776761	-20.911936	12.121452	-2.890153	-17.390354	-14.768364	-22.264442	-7.5878024	-4.629922	-18.402805	-16.39999	-18.167149	-14.823011	-4.8218193	-5.694126	9.856144	4.9092464	-17.000483	12.530511	-14.239889	-17.987043	-5.6011763	17.27051	15.998638	0.0	-10.240122	11.32138	24.906448	-14.676343	-10.393455	2.8117352	-10.7966	-12.678017	-17.955318	7.4919086	20.069061	-8.040737	-10.4033985	-2.920165	3.761343	-9.442944	-9.567914	-2.1418142	-3.043064	-26.741156	-9.776791	-17.869324	15.268815	-24.7616	9.587205	19.765429	-15.0716305	19.115997	-4.9353867	3.0568428	-22.443806	-10.426463	-10.787451	-29.27988	3.6759605
-20.073296	-16.583958	-10.08678	-20.363949	15.9415655	6.918432	-24.362429	-33.239197	-19.20328	-16.188202	-24.966038	-6.4503107	-7.157355	-7.54146	-8.021046	-4.2675734	-17.50452	13.417734	-29.619932	-12.959502	8.260567	-1.0741415	-23.811932	-38.755493	-10.240122	0.0	-24.462566	-12.703157	35.550663	-13.099056	-19.476578	15.886387	-22.745369	-16.407658	-29.810097	-3.1198406	-4.657709	-21.158123	-22.764336	-20.45271	-4.5590935	-17.467995	-18.064926	-7.975767	-13.876689	-18.626822	-14.063109	0.1968689	1.0320282	0.18130207	-17.440584	-10.378944	-6.08364	1.0842152	-32.46974	-21.721518	-27.582756	-27.870356	10.586155	-15.831719
10.515377	-33.20625	-13.344021	-18.55644	1.2381039	-5.3845005	-14.137795	-9.951159	-18.640175	-18.919033	-19.394234	-15.941309	-11.222157	-25.032848	-32.526134	19.351446	9.838852	-14.75597	20.445103	-22.288475	-12.24824	-10.0604515	29.82701	8.23136	11.32138	-24.462566	0.0	1.1547813	-13.695734	-33.21723	15.976094	-10.141773	-24.56419	-18.238438	0.76750374	29.502487	12.189695	-15.365159	-19.601128	11.689082	-17.07837	-4.129841	2.1289997	15.873718	-14.901722	-18.632938	-18.757307	20.186237	-16.87497	16.900057	4.29286	-14.740836	11.016264	20.777813	16.679935	-20.629766	-16.085556	-33.546867	-6.998625	14.352093
32.050148	-29.167381	-10.391624	-12.033627	-11.69463	-23.83014	-30.486267	-7.5001183	-10.9507	-11.69142	-18.629232	-16.426403	-18.8554	-16.87628	-26.19025	11.277307	29.918156	-26.9025	4.248453	-39.55428	-16.38559	-21.137909	27.072012	18.222359	24.906448	-12.703157	1.1547813	0.0	-10.450885	-32.842865	14.135384	-36.106453	-9.482595	-8.986821	0.6428251	-5.703453	-25.300055	-16.932817	-15.055435	21.69469	-25.34557	-20.353249	-29.59251	15.190798	-8.033457	-22.572018	-20.794191	21.861858	4.3848305	15.546272	34.55488	8.161142	-4.9324875	25.538158	7.242548	-7.980772	-8.148412	-16.523764	-4.2003994	34.680664
-24.76041	-11.26688	-0.08387756	-6.797001	24.094353	-23.549215	-1.6640892	-12.266334	-11.812534	-19.415323	-1.5790329	-6.205081	-33.72589	0.17638683	-38.127327	-24.181503	-0.31429768	18.253242	-24.970875	-13.195253	-27.72829	1.2762604	-5.146386	-31.073631	-14.676343	35.550663	-13.695734	-10.450885	0.0	-17.727957	-5.966996	6.290515	-12.031682	-32.694725	-15.654966	-19.17829	11.558571	-16.646801	-7.1581993	-27.770844	-20.218243	2.502554	-5.682583	-20.87022	-16.600847	-0.47431183	-31.458254	-13.047335	-2.8093004	-4.030032	-19.858068	-3.1266403	-17.3313	-9.623156	-12.57012	-15.874633	-21.82242	-21.96888	-3.75074	-3.664856
-15.144608	11.871992	12.638456	0.48089027	-20.85775	-22.160122	2.6831923	28.85689	15.159994	5.5869026	25.60717	33.599533	3.325286	20.009062	35.660465	-11.461464	-13.345339	-2.8873396	-12.516129	21.59449	11.570372	4.3894377	1.4600048	-23.528557	-10.393455	-13.099056	-33.21723	-32.842865	-17.727957	0.0	5.5664024	-9.298786	13.435886	18.54112	-5.3771048	-21.620777	18.222006	23.602808	26.094631	-19.159935	5.066025	21.316723	22.34652	-13.918865	-26.166407	17.517523	22.180101	-3.592392	21.924305	-19.275608	-15.909536	19.674175	-24.554716	-14.962172	-24.328411	23.867237	6.0855274	-18.244728	0.4054556	4.5284157
25.621925	-10.173267	-18.362028	-8.945893	-27.074463	-5.429984	-2.085167	-18.494164	-13.029819	-10.203741	0.48339367	-1.2569942	-19.600874	-18.05748	-15.203835	27.88858	13.356322	-13.08384	13.602233	-6.903013	3.4073143	-23.347336	8.1241455	22.889992	2.8117352	-19.476578	15.976094	14.135384	-5.966996	5.5664024	0.0	-11.586112	-0.8162117	3.7122917	17.401361	17.978966	-31.132582	-13.011255	-27.184269	25.256405	-15.305015	-23.567963	3.4780045	3.7873354	-19.17427	-17.62059	-9.2164135	14.241081	-14.754435	19.19123	8.430032	-44.659954	22.653957	1.0006857	27.627247	-13.57418	-10.694381	-21.568876	-23.803528	13.818253
-10.118773	-28.736591	-12.922998	-22.629242	3.7660751	-8.765768	-28.62113	-12.009186	-15.489998	-25.939487	-13.902859	-7.288053	-12.421754	-9.677867	-24.745358	5.8954906	-22.023516	8.689275	-14.603347	-27.871796	-19.366701	-20.023643	-7.907584	-20.296932	-10.7966	15.886387	-10.141773	-36.106453	6.290515	-9.298786	-11.586112	0.0	-21.557499	-25.679657	-0.35264492	-12.575823	-33.145397	-14.953427	-29.498238	-3.0390444	-23.669659	-12.069695	-12.200127	-7.136448	-30.33705	-13.540065	-0.4855423	-10.750973	-19.520416	5.2395134	-18.886467	-23.708973	-15.197782	-17.092033	-10.111681	-1.7211952	-20.859163	-12.917995	30.430275	-9.166319
-18.717667	20.513233	10.978908	14.138221	-9.856951	-28.538086	16.867224	22.564377	11.688007	5.632657	20.350824	11.33828	20.587385	9.945364	0.838747	-21.956497	-23.184933	-11.06587	-33.338486	15.969234	20.400993	10.495204	-19.013573	-20.999348	-12.678017	-22.745369	-24.56419	-9.482595	-12.031682	13.435886	-0.8162117	-21.557499	0.0	34.043144	-18.646091	-14.336718	4.6959105	-2.7521858	34.610714	-14.065631	29.748997	16.079853	14.077729	-20.104483	-23.87453	14.295502	33.01609	-23.807652	12.377668	-14.432359	-4.886565	21.99157	-38.6301	-25.465353	-16.360395	27.002502	3.3953018	-7.182234	-10.8898535	-30.080692
-31.78109	33.894123	19.215393	36.07418	-32.87661	-3.288042	3.1657581	23.079678	18.69105	14.068729	7.153326	10.547361	17.20626	30.219692	-5.473469	4.2153397	-28.86705	-26.734097	-3.7859364	19.587093	27.794842	23.811901	-20.275692	-21.37085	-17.955318	-16.407658	-18.238438	-8.986821	-32.694725	18.54112	3.7122917	-25.679657	34.043144	0.0	-16.536367	-14.22732	20.883804	16.350395	29.72974	-17.567427	29.15167	10.094449	5.630925	-17.758554	-18.061218	12.981058	22.30056	-5.5785456	16.993546	-14.594494	-17.308712	14.688799	-11.163557	-26.728928	-11.843185	-2.662136	0.21525478	-15.644776	-30.919956	-20.665808
29.242043	3.3127956	-17.465052	-30.677017	-18.566269	-16.146078	-7.4206667	-16.214897	-22.388565	-20.85978	-24.773024	-7.264462	1.4152489	-33.93583	-20.433414	0.68961716	20.872654	-27.464901	21.649366	-0.94405174	-19.556435	-16.390915	10.606075	13.33919	7.4919086	-29.810097	0.76750374	0.6428251	-15.654966	-5.3771048	17.401361	-0.35264492	-18.646091	-16.536367	0.0	14.665249	-12.869285	2.0361118	-22.461887	-2.8889484	-11.948171	-25.146553	-27.755772	-0.6119633	-10.813887	-4.1711483	-21.372044	26.623304	-20.872757	22.666847	16.240719	-5.9610004	6.4103394	-17.027462	1.9054413	-24.143871	-10.040311	-8.78217	-32.41797	-2.7951202
8.421621	-23.983406	-4.457822	-2.7125301	-13.950218	1.797102	-6.035308	1.0502052	-17.23625	-11.532165	-11.104213	-34.695435	-7.2192388	-4.7397346	-8.919116	16.929949	-10.928143	-11.006845	14.266104	-18.254723	-7.1031246	-18.789238	-1.421154	23.166473	20.069061	-3.1198406	29.502487	-5.703453	-19.17829	-21.620777	17.978966	-12.575823	-14.336718	-14.22732	14.665249	0.0	-17.325142	-21.567013	-11.5345125	1.4095554	-23.966776	-29.229397	-16.71773	11.436115	-15.62929	-30.105457	-23.379206	25.355188	-18.747776	17.940262	19.002096	-25.002457	24.295895	2.6921043	-3.4408512	1.2507362	-20.066357	-21.40987	-24.710085	23.876083
-17.313608	8.803565	-4.925211	16.947918	-29.43185	-17.94744	14.942525	12.944331	11.086211	4.4575253	12.349529	20.099314	2.6880512	16.033499	21.600483	-19.89875	-19.775827	-21.576517	-20.300592	10.195883	31.429121	18.463955	-25.887367	-17.014404	-8.040737	-4.657709	12.189695	-25.300055	11.558571	18.222006	-31.132582	-33.145397	4.6959105	20.883804	-12.869285	-17.325142	0.0	20.397789	-0.7261543	-15.512115	20.445015	13.25631	10.78658	5.016617	-26.5732	26.751873	10.0768585	-15.526804	30.286404	-16.317776	0.82783794	6.2437353	-16.36619	-25.844387	-25.770195	10.811752	13.549048	-7.997549	-12.620495	-25.296724
